	WT_F1	WT_F2	WT_M3	WT_M4	rd10_F4	rd10_F3	rd10_F2	rd10_F1	rd10_M8	rd10_M6	rd10_M7	rd10_M5
Gm47116	1	1	1	1	2	4	2	1	1	3	1	1
Gm47117	0	0	1	1	0	0	3	2	0	0	0	1
Gm47118	0	1	0	0	0	0	1	0	0	0	0	0
Gm47119	0	2	1	0	2	1	1	2	3	6	0	1
Gm47120	0	0	0	0	0	0	0	0	0	0	0	0
Gm47121	1	3	0	2	2	2	0	2	1	2	0	1
Gm47122	23	27	8	22	2	3	3	3	0	4	6	1
Gm47123	0	0	0	0	0	0	0	0	0	0	0	0
Gm47124	0	0	0	0	0	0	0	0	0	0	0	1
Gm47125	0	0	0	0	0	0	0	0	0	0	0	0
Gm47126	0	0	0	0	0	0	0	0	0	0	0	0
Gm47127	0	2	0	0	0	0	1	2	0	0	1	0
Gm47128	0	0	0	0	0	0	0	0	0	0	0	0
Gm47129	0	0	0	0	0	0	0	0	0	0	0	0
Gm47130	0	0	0	0	0	0	0	0	0	0	0	0
Gm47131	1	0	0	0	0	0	0	0	0	0	0	0
Gm47132	2	1	1	1	0	0	0	1	1	0	0	0
Gm47133	0	0	0	1	0	0	0	1	0	1	1	0
Gm47134	0	0	0	0	1	0	0	0	0	0	0	2
Gm47135	4	7	7	12	13	21	20	9	14	15	7	25
Gm47136	0	1	0	1	0	0	3	2	0	1	0	0
Gm47137	0	0	0	0	1	0	0	0	0	0	0	0
Gm47138	0	2	0	0	6	0	3	3	3	3	0	0
Gm47139	0	1	0	0	1	1	0	0	2	0	0	0
Gm4714	0	0	0	0	0	0	0	0	0	0	0	0
Gm47140	73	91	67	101	65	79	80	84	85	109	73	95
Gm47141	0	0	0	0	0	0	0	1	0	1	0	0
Gm47142	0	0	0	0	0	0	0	0	0	0	0	0
Gm47143	0	0	0	0	0	0	0	0	0	0	0	0
Gm47144	0	0	0	0	0	1	0	0	0	1	0	0
Gm47145	0	0	0	0	1	0	0	0	0	0	0	0
Gm47146	0	0	0	0	0	0	0	0	0	0	0	0
Gm47147	11	8	4	13	3	4	1	10	9	13	4	9
Gm47148	0	1	1	0	0	0	0	0	0	0	0	1
Gm47149	0	0	0	0	0	0	0	0	0	0	0	0
Gm47150	0	0	0	0	0	0	0	0	0	0	1	0
Gm47151	0	0	0	0	0	0	0	0	0	0	0	0
Gm47152	0	0	0	0	0	0	0	0	0	0	0	0
Gm47153	0	0	0	0	1	0	0	0	0	1	0	2
Gm47154	2	8	8	3	5	6	4	6	7	3	5	1
Gm47155	116	147	118	133	194	170	155	209	188	197	121	198
Gm47156	0	1	0	1	1	0	0	0	1	0	0	0
Gm47157	18	29	25	30	4	18	6	8	10	12	12	10
Gm47158	5	6	5	7	1	3	0	1	1	2	0	0
Gm47159	7	5	6	6	4	7	5	3	6	4	4	2
Gm47160	2295	3179	2552	3664	326	547	509	570	217	465	470	338
Gm47161	1	1	3	1	0	1	0	0	0	0	0	1
Gm47162	0	0	0	0	0	0	0	0	0	0	0	0
Gm47163	279	331	310	346	473	353	468	543	552	502	407	611
Gm47164	0	0	0	0	0	0	0	0	0	0	0	0
Gm47165	0	0	0	0	0	0	0	0	0	0	0	0
Gm47166	3	4	1	0	6	6	1	2	1	3	0	0
Gm47167	0	2	1	1	1	1	0	0	0	2	0	0
Gm47168	0	1	0	0	0	2	0	3	0	0	0	0
Gm47169	0	0	0	0	0	0	0	0	0	0	0	0
Gm47170	0	0	0	0	0	0	0	0	0	0	0	0
Gm47171	2	7	3	1	5	3	3	1	6	3	1	0
Gm47172	0	0	0	0	0	0	0	0	0	0	0	0
Gm47173	3	0	2	1	5	1	3	1	1	3	2	2
Gm47174	0	0	0	0	1	0	0	0	0	0	0	0
Gm47175	1	4	4	11	16	5	8	22	4	9	9	8
Gm47176	0	1	1	7	1	2	1	0	1	0	2	2
Gm47177	0	2	4	2	13	0	4	0	8	7	4	7
Gm47178	2	0	0	2	6	6	7	6	4	11	2	3
Gm47179	0	0	0	0	0	0	0	0	0	0	0	0
Gm47180	0	0	0	0	0	0	0	0	0	0	0	0
Gm47181	0	0	0	0	0	0	1	1	1	2	0	1
Gm47182	0	0	0	0	0	0	0	0	0	0	0	0
Gm47183	0	0	0	0	0	0	0	0	0	0	0	0
Gm47184	1	2	0	0	0	2	1	1	0	1	0	1
Gm47185	0	0	0	0	0	0	0	0	0	0	0	0
Gm47186	0	0	0	0	0	0	0	0	0	0	0	0
Gm47187	0	0	0	0	0	0	0	0	0	0	0	0
Gm47188	0	0	0	0	0	0	0	0	0	0	0	0
Gm47189	0	0	0	0	0	0	0	0	0	0	0	0
Gm4719	0	0	0	0	0	0	0	0	0	0	0	0
Gm47190	0	0	0	0	0	0	0	0	0	0	0	0
Gm47191	0	0	0	0	0	0	0	0	0	0	0	0
Gm47192	0	1	1	0	0	1	0	2	0	0	0	0
Gm47193	0	0	0	0	0	0	0	0	0	0	0	0
Gm47194	0	0	0	0	0	0	0	0	0	0	0	0
Gm47195	0	0	0	0	0	0	0	0	0	0	0	0
Gm47196	2	0	0	2	0	0	0	3	0	0	0	0
Gm47197	10	14	11	11	3	7	4	5	7	11	5	1
Gm47198	2	2	0	4	3	4	3	6	3	4	1	0
Gm47199	0	2	1	0	0	0	0	0	0	1	0	1
Gm47200	0	0	0	0	0	0	0	0	0	0	0	0
Gm47201	1	1	0	0	1	1	0	0	0	0	0	0
Gm47202	3	2	3	7	3	0	4	4	8	7	4	5
Gm47203	0	0	0	0	0	0	0	0	0	0	0	0
Gm47204	2	0	0	0	1	0	0	1	0	1	0	0
Gm47205	11	8	6	4	12	9	6	12	10	21	12	11
Gm47206	0	0	0	0	0	0	0	0	0	0	0	0
Gm47207	0	0	1	0	0	0	0	0	1	0	0	0
Gm47208	0	0	0	0	0	0	0	0	0	0	0	0
Gm47209	4	4	4	3	4	4	0	2	6	5	7	8
Gm47210	5	3	13	6	10	4	10	14	14	12	12	19
Gm47211	0	0	1	0	0	2	0	1	0	0	1	0
Gm47212	0	0	0	2	0	0	0	0	0	0	0	1
Gm47213	5	1	5	13	11	10	10	13	14	12	10	10
Gm47214	0	0	0	0	0	0	0	0	0	0	0	0
Gm47215	0	0	0	0	0	0	0	0	0	0	0	0
Gm47216	0	0	0	0	0	1	0	0	0	0	0	0
Gm47217	0	0	0	0	0	0	0	0	0	0	0	0
Gm47218	49	69	44	86	36	37	29	28	35	53	24	30
Gm47219	0	0	0	0	0	0	0	0	0	0	0	0
Gm47220	0	0	0	0	0	0	0	1	0	0	0	0
Gm47221	0	0	0	0	2	0	0	0	1	0	0	3
Gm47222	0	0	0	0	0	0	0	0	0	0	0	0
Gm47223	0	0	1	0	0	1	1	0	1	1	0	1
Gm47224	4	0	0	0	0	0	0	0	0	0	0	0
Gm47225	0	0	0	0	0	0	0	0	0	0	0	0
Gm47226	0	0	0	0	0	0	0	0	0	0	0	0
Gm47227	0	0	0	0	0	0	0	0	0	0	0	0
Gm47228	0	0	0	0	0	0	0	0	0	0	0	0
Gm47229	0	0	0	0	0	0	0	0	0	0	0	0
Gm47230	0	0	0	0	0	0	0	0	0	0	0	0
Gm47231	1	1	0	1	3	4	2	0	1	1	3	0
Gm47232	35	31	30	47	35	32	30	46	40	36	46	50
Gm47233	0	0	0	0	0	0	0	0	0	0	0	0
Gm47234	18	16	11	10	6	7	8	4	9	8	7	2
Gm47235	0	0	3	0	1	0	1	3	2	1	0	2
Gm47236	0	0	0	0	0	0	0	0	0	0	0	0
Gm47237	0	1	0	1	1	0	0	2	1	0	1	0
Gm47238	0	0	0	0	0	0	0	0	0	0	0	0
Gm47239	0	0	1	0	1	5	1	0	0	2	0	0
Gm4724	3	5	1	15	6	9	7	10	14	0	1	7
Gm47240	0	0	0	0	0	0	0	0	0	0	0	0
Gm47241	0	0	0	0	0	0	0	0	0	0	0	0
Gm47242	3	1	1	4	2	3	1	0	1	1	0	1
Gm47243	0	0	0	0	1	0	0	0	0	0	0	0
Gm47244	0	0	0	0	0	0	0	0	0	0	0	0
Gm47245	0	0	0	0	0	0	0	0	0	0	0	0
Gm47246	52	53	28	50	35	43	25	38	30	48	39	33
Gm47247	0	0	0	0	0	0	0	0	0	0	0	0
Gm47248	0	0	0	0	0	0	0	0	0	0	0	0
Gm47249	0	0	0	0	0	0	0	0	0	0	0	0
Gm4725	0	0	0	0	0	0	0	0	0	0	0	0
Gm47250	2	6	5	5	2	4	3	4	1	4	2	3
Gm47251	54	108	54	105	55	56	49	72	63	46	54	61
Gm47252	182	232	110	173	30	53	23	31	34	45	41	28
Gm47253	0	0	0	0	0	0	0	0	0	0	1	0
Gm47254	9	14	5	11	3	4	4	1	3	5	5	6
Gm47255	3	0	0	0	0	0	1	0	0	0	0	0
Gm47256	0	0	0	0	0	0	0	0	0	0	0	0
Gm47257	6	7	6	8	6	3	3	9	2	1	3	3
Gm47258	32	50	21	29	30	27	22	22	30	22	18	23
Gm47259	46	45	42	56	11	15	12	8	12	10	6	6
Gm4726	0	0	0	0	0	0	0	0	0	0	0	0
Gm47260	151	284	125	211	118	160	116	161	184	192	138	161
Gm47261	0	0	0	0	0	0	0	1	0	0	0	0
Gm47262	0	0	0	0	0	0	0	0	0	0	0	1
Gm47263	0	0	0	0	0	0	0	0	0	0	0	0
Gm47264	0	0	0	0	0	0	0	0	0	0	0	0
Gm47265	0	0	0	0	0	0	0	0	0	0	0	0
Gm47266	0	0	0	1	0	0	2	1	0	1	0	1
Gm47267	0	0	0	0	0	0	0	0	0	0	0	0
Gm47268	0	0	0	0	0	0	0	0	0	0	0	0
Gm47269	0	0	0	0	0	0	0	0	0	0	0	0
Gm47270	29	29	28	19	50	29	30	46	33	37	33	39
Gm47271	0	1	0	1	0	0	0	1	1	0	0	0
Gm47272	2	1	1	1	3	1	1	0	0	0	1	0
Gm47273	0	1	0	1	0	0	0	1	0	0	0	0
Gm47274	0	0	0	0	0	0	0	0	0	0	0	0
Gm47275	0	0	0	0	0	0	0	0	0	0	0	0
Gm47276	0	0	0	0	0	0	0	0	0	0	0	0
Gm47277	0	0	0	1	1	1	0	0	0	1	0	0
Gm47278	0	0	0	0	0	0	0	0	0	0	0	0
Gm47279	0	0	0	0	0	0	0	0	0	0	0	0
Gm47280	0	0	0	0	0	0	0	0	0	0	0	0
Gm47281	0	0	0	0	0	0	0	0	0	0	0	0
Gm47282	0	0	1	0	0	0	0	0	1	1	2	0
Gm47283	1	14	155	227	186	167	183	390	288	329	221	43
Gm47284	0	2	1	0	1	0	1	2	1	3	0	1
Gm47285	0	0	0	0	0	0	0	0	0	0	0	0
Gm47286	0	0	0	0	0	0	0	0	0	0	0	0
Gm47287	0	0	0	0	0	0	0	0	0	0	0	0
Gm47288	0	0	0	0	0	0	0	0	0	0	0	0
Gm47289	0	0	0	0	0	0	0	0	1	0	0	0
Gm47290	0	0	0	0	0	1	0	0	0	1	0	1
Gm47291	0	0	0	0	0	0	0	0	0	0	0	0
Gm47292	0	0	0	0	0	0	0	0	0	0	0	0
Gm47293	0	0	0	0	0	0	0	0	0	0	0	0
Gm47294	0	0	0	0	0	0	0	0	0	0	0	0
Gm47295	0	0	0	0	0	0	0	0	0	0	0	0
Gm47296	0	0	0	0	1	0	0	0	1	0	0	0
Gm47297	0	0	0	0	0	0	0	0	0	0	0	0
Gm47298	0	0	0	0	0	0	0	0	0	0	0	0
Gm47299	0	0	0	0	0	0	0	0	0	0	0	0
Gm47300	0	0	0	0	1	0	0	1	1	1	0	0
Gm47301	0	0	0	0	0	0	0	0	0	0	0	0
Gm47302	0	0	0	0	0	0	0	0	0	0	0	0
Gm47303	0	1	1	0	1	2	0	1	0	2	2	0
Gm47304	0	0	0	0	0	0	0	0	0	0	0	0
Gm47305	0	0	0	0	0	0	0	0	0	0	0	0
Gm47306	0	0	0	0	0	0	0	0	0	0	0	0
Gm47307	0	0	0	0	0	0	0	0	0	0	0	0
Gm47308	0	0	0	0	0	0	0	0	0	0	0	0
Gm47309	0	0	0	0	0	0	0	0	0	0	0	0
Gm47310	0	0	0	0	0	0	0	0	0	0	0	0
Gm47311	0	0	0	0	0	0	0	0	0	0	0	0
Gm47312	0	0	0	0	0	0	0	0	0	0	0	0
Gm47313	0	0	0	0	0	0	0	0	0	0	0	0
Gm47314	0	0	0	0	0	0	0	0	0	0	0	0
Gm47315	0	0	1	0	0	0	0	0	0	0	0	0
Gm47316	1	0	3	1	2	2	0	4	1	5	2	2
Gm47317	1	1	1	0	0	0	0	3	1	1	0	0
Gm47318	0	0	0	0	0	0	0	1	0	0	0	0
Gm47319	0	0	0	0	0	0	0	0	0	0	0	0
Gm4732	0	0	0	0	0	0	0	0	0	0	0	0
Gm47320	0	0	2	1	1	0	0	1	2	0	2	0
Gm47321	1	2	2	4	1	2	0	1	2	3	0	1
Gm47322	5	13	6	18	10	9	11	11	3	7	8	4
Gm47323	0	0	0	0	0	0	0	0	0	0	0	0
Gm47324	1	0	0	0	0	0	0	4	0	1	1	2
Gm47325	0	0	0	0	0	0	0	0	0	0	0	0
Gm47326	0	0	0	0	0	0	0	1	0	1	3	1
Gm47327	0	0	0	0	0	0	0	0	0	0	0	0
Gm47328	0	0	1	0	2	2	0	2	1	2	0	4
Gm47329	0	0	0	0	0	0	0	0	0	0	0	0
Gm47330	0	0	0	0	2	1	0	1	0	1	0	0
Gm47331	0	0	0	0	0	0	0	0	0	0	0	0
Gm47332	0	0	0	0	0	0	0	0	0	0	0	0
Gm47333	0	0	0	0	0	0	0	0	1	1	0	0
Gm47334	3	1	1	0	4	1	1	0	0	0	0	2
Gm47335	0	0	0	0	0	0	0	0	0	0	0	0
Gm47336	0	0	0	0	0	1	0	1	0	0	0	0
Gm47337	0	0	0	0	0	1	0	0	1	0	0	0
Gm47338	0	0	0	0	0	1	0	0	0	0	0	0
Gm47339	0	0	0	0	1	0	0	0	3	1	0	1
Gm4734	5	3	6	3	2	8	5	3	6	7	4	4
Gm47340	0	0	0	0	0	0	0	0	0	0	0	0
Gm47341	0	0	0	1	1	0	0	0	1	1	0	0
Gm47342	0	1	0	0	1	0	0	1	0	0	0	0
Gm47343	0	0	0	0	0	0	0	0	0	0	0	0
Gm47344	1	1	1	0	0	1	0	2	2	1	0	0
Gm47345	1	2	0	3	3	3	1	3	4	6	1	2
Gm47346	0	0	0	0	0	0	0	0	0	0	0	0
Gm47347	0	0	0	0	1	0	0	1	2	0	3	1
Gm47348	0	0	0	0	0	0	0	0	0	0	0	0
Gm47349	0	0	0	0	0	0	0	0	0	0	0	0
Gm4735	54	47	58	62	61	44	61	79	70	60	71	94
Gm47350	9	3	4	3	1	1	1	2	0	4	3	2
Gm47351	0	5	2	0	1	1	0	3	1	2	1	3
Gm47352	5	2	1	0	1	3	1	2	3	6	3	5
Gm47353	0	0	0	0	0	0	0	0	0	0	0	0
Gm47354	0	0	0	0	0	0	0	0	0	0	0	0
Gm47355	0	0	0	0	0	0	0	0	0	0	0	0
Gm47356	0	0	0	0	0	0	0	0	0	0	0	0
Gm47357	1	0	0	1	1	4	0	1	0	0	0	0
Gm47358	0	0	0	0	0	0	0	0	0	0	2	0
Gm47359	1	0	0	0	0	0	0	1	0	1	0	0
Gm4736	0	0	0	0	0	0	0	0	0	0	0	0
Gm47360	0	0	0	0	0	0	0	1	0	0	0	0
Gm47361	0	0	0	0	0	0	0	0	1	0	0	0
Gm47362	0	0	0	0	0	0	0	0	0	0	0	0
Gm47363	0	0	0	0	0	0	0	0	0	0	0	0
Gm47364	0	0	0	0	0	0	0	0	0	0	0	0
Gm47365	0	0	0	0	0	0	0	0	0	0	0	0
Gm47366	0	0	0	0	0	0	0	0	0	0	0	0
Gm47367	0	0	0	0	0	0	0	0	0	0	0	0
Gm47368	0	0	0	3	0	1	2	2	0	2	0	0
Gm47369	0	0	0	0	0	0	0	0	0	0	0	1
Gm4737	1	3	1	3	1	1	5	7	6	3	6	1
Gm47370	18	22	9	17	20	16	13	24	10	18	8	17
Gm47371	0	0	0	0	0	0	0	1	0	0	0	0
Gm47372	29	40	21	42	36	38	28	32	22	40	15	34
Gm47373	0	1	2	0	3	0	0	6	1	2	1	1
Gm47374	0	1	0	0	2	0	0	0	0	0	1	0
Gm47375	1	0	0	0	2	0	0	0	2	1	0	0
Gm47376	0	1	0	0	1	0	0	0	1	2	1	0
Gm47377	0	0	0	0	0	0	0	0	0	0	0	0
Gm47378	0	0	0	0	0	0	0	0	0	0	0	0
Gm47379	0	0	0	0	0	0	0	0	0	0	0	0
Gm47380	0	0	0	0	0	0	0	0	0	0	0	0
Gm47381	1	0	0	0	4	0	0	2	1	0	0	0
Gm47382	0	0	0	0	0	0	0	0	0	0	0	0
Gm47383	0	0	0	0	0	1	0	0	0	0	0	0
Gm47384	0	0	0	0	0	0	0	0	0	0	0	0
Gm47385	1	0	2	0	2	0	0	1	3	4	3	7
Gm47386	0	0	0	0	0	0	0	0	0	0	0	0
Gm47387	0	0	0	0	0	0	0	0	0	1	0	0
Gm47388	0	0	0	0	0	0	0	0	0	0	0	0
Gm47389	0	0	0	0	0	1	0	0	0	0	0	0
Gm4739	3	3	3	2	1	1	0	0	0	0	0	4
Gm47390	0	0	0	0	0	0	0	0	0	0	0	0
Gm47391	7	6	6	9	9	8	10	3	9	6	2	9
Gm47392	0	0	0	0	0	0	0	0	0	0	0	1
Gm47393	0	0	0	0	0	0	0	0	0	0	0	0
Gm47394	0	0	0	0	0	0	0	0	0	0	0	0
Gm47395	0	0	0	0	0	0	0	0	0	0	0	0
Gm47396	0	0	0	0	0	0	0	0	0	0	0	0
Gm47397	0	0	0	0	0	0	0	0	0	0	0	0
Gm47398	0	0	0	0	0	0	0	0	0	0	0	0
Gm47399	8	18	16	22	13	11	10	15	23	15	9	10
Gm4740	0	0	0	0	0	0	0	0	0	0	0	0
Gm47400	3	8	9	5	3	2	2	3	1	6	3	3
Gm47401	0	0	0	0	0	0	0	0	0	0	0	0
Gm47402	0	0	0	0	0	0	0	0	0	0	0	0
Gm47403	3	7	7	18	10	13	8	4	7	10	7	11
Gm47404	0	0	0	0	0	0	0	0	0	1	0	1
Gm47405	0	0	0	0	0	0	0	2	0	0	0	0
Gm47406	0	0	0	0	0	0	0	0	0	0	0	0
Gm47407	0	0	0	0	0	0	0	0	0	0	0	0
Gm47408	0	0	0	0	0	0	0	0	0	0	0	0
Gm47409	2	0	2	1	1	0	1	1	1	1	0	2
Gm47410	2	5	1	2	1	1	0	3	5	1	2	5
Gm47411	0	0	0	0	1	0	0	0	1	0	0	0
Gm47412	0	0	0	0	0	0	1	0	0	0	0	0
Gm47413	0	0	0	0	0	0	0	0	0	0	0	0
Gm47414	17	30	17	23	18	14	11	15	22	25	16	22
Gm47415	0	2	2	0	0	0	0	0	0	0	0	0
Gm47416	0	0	0	0	0	0	0	0	1	0	0	0
Gm47417	0	0	0	0	0	0	0	0	0	0	0	0
Gm47418	0	0	0	0	0	0	1	0	0	0	0	0
Gm47419	0	0	0	0	0	0	0	0	0	1	0	1
Gm4742	3	2	6	3	5	2	3	5	9	11	8	8
Gm47420	0	0	0	0	0	0	0	0	0	0	0	0
Gm47421	0	0	0	0	0	0	0	0	0	0	0	0
Gm47422	0	0	0	0	0	0	0	0	0	0	0	0
Gm47423	0	0	0	0	0	1	1	1	0	1	0	2
Gm47424	6	3	5	2	9	2	1	2	4	7	4	2
Gm47425	0	0	2	0	0	1	0	0	0	0	2	0
Gm47426	0	0	0	0	0	0	0	0	0	0	0	0
Gm47427	2	1	2	1	0	2	1	0	0	3	0	1
Gm47428	1	0	0	0	0	0	0	0	0	0	0	0
Gm47429	0	0	0	0	0	0	0	0	0	0	0	0
Gm47430	0	0	0	1	0	1	1	0	2	4	2	2
Gm47431	2	3	2	2	2	0	1	0	1	2	1	0
Gm47432	0	0	0	0	0	0	0	0	0	0	0	0
Gm47433	0	0	0	1	1	0	0	0	0	0	0	0
Gm47434	2	0	0	0	0	0	0	1	1	1	0	0
Gm47435	14	18	23	10	27	21	13	16	22	28	16	16
Gm47436	0	0	0	0	0	0	0	0	0	0	0	0
Gm47437	1	0	0	0	1	0	0	0	1	0	1	0
Gm47438	2	4	5	7	1	4	2	4	2	1	2	5
Gm47439	7	15	11	7	7	6	11	17	2	8	8	11
Gm4744	0	0	0	0	0	0	0	0	0	0	0	0
Gm47440	0	0	0	0	0	0	0	0	0	0	0	0
Gm47441	3	4	3	2	7	6	4	6	3	3	3	0
Gm47442	0	0	0	0	0	0	0	0	0	0	0	0
Gm47443	0	0	0	0	0	0	0	0	0	0	0	0
Gm47444	0	0	0	0	0	0	0	0	0	0	0	0
Gm47445	0	0	0	0	0	0	0	0	0	0	0	0
Gm47446	13	13	16	12	17	15	24	38	16	15	16	28
Gm47447	0	1	0	0	2	0	0	5	0	2	0	0
Gm47448	1	0	1	1	0	0	0	1	1	1	1	0
Gm47449	0	0	0	0	0	0	0	0	0	0	0	0
Gm47450	5	7	2	8	0	6	1	2	3	0	3	2
Gm47451	0	0	1	0	0	0	0	0	0	0	0	0
Gm47452	0	0	0	0	0	0	0	0	0	0	0	0
Gm47453	0	0	0	0	0	0	0	0	0	1	0	0
Gm47454	0	0	0	0	0	0	0	0	0	0	0	0
Gm47455	0	0	0	0	0	0	0	0	0	0	0	0
Gm47456	0	0	0	0	0	0	0	2	1	0	0	0
Gm47457	0	2	0	2	0	0	0	0	0	0	0	1
Gm47458	0	0	0	0	0	0	0	0	0	0	0	0
Gm47459	0	0	0	0	0	0	0	0	0	0	0	0
Gm4746	0	0	0	0	0	0	0	0	0	0	0	0
Gm47460	2	1	2	2	1	0	1	0	0	0	1	0
Gm47461	0	2	2	0	0	0	0	2	1	0	0	0
Gm47462	0	0	0	0	0	0	0	0	0	0	0	0
Gm47463	0	0	0	0	0	0	0	0	0	0	0	0
Gm47464	0	0	0	0	0	1	0	1	0	0	1	0
Gm47465	2	0	0	0	0	0	0	1	0	0	0	0
Gm47466	0	0	0	0	0	0	0	0	0	0	0	0
Gm47467	1	10	6	5	13	4	10	8	5	3	9	19
Gm47468	0	0	1	0	0	0	0	1	0	0	3	0
Gm47469	39	54	38	30	75	59	48	53	74	65	54	69
Gm47470	0	0	0	0	0	0	0	0	0	0	0	0
Gm47471	1	0	0	0	3	2	4	3	1	8	4	3
Gm47472	16	16	10	19	11	22	14	12	16	23	10	4
Gm47473	0	0	0	0	0	0	0	0	0	0	0	0
Gm47474	0	0	0	0	0	0	1	0	0	0	0	0
Gm47475	5	10	3	6	15	20	12	11	24	24	11	11
Gm47476	0	0	0	0	0	0	1	0	0	0	1	0
Gm47477	12	11	2	7	6	7	5	9	5	5	1	2
Gm47478	0	0	0	0	0	0	0	0	0	0	0	0
Gm47479	2	0	1	0	1	1	0	2	1	0	0	0
Gm47480	5	4	5	4	1	2	0	2	2	3	2	1
Gm47481	1	0	0	0	0	1	0	0	2	1	0	0
Gm47482	0	0	0	0	0	0	0	0	1	1	1	0
Gm47483	133	155	111	195	139	110	103	122	136	158	110	134
Gm47484	56	54	45	70	48	55	42	53	54	59	42	42
Gm47485	1	0	1	0	1	0	1	0	0	2	0	0
Gm47486	0	0	0	0	1	0	0	0	0	1	0	1
Gm47487	0	0	0	0	0	0	0	0	0	0	0	0
Gm47488	0	1	1	0	0	0	0	1	0	0	0	2
Gm47489	4	1	7	1	4	5	6	6	13	9	5	10
Gm47490	0	0	0	1	0	0	0	0	0	0	0	1
Gm47491	0	0	0	0	0	0	0	0	0	0	0	0
Gm47492	0	0	0	0	0	0	0	0	0	0	0	0
Gm47493	0	2	0	2	4	2	1	1	0	3	1	2
Gm47494	0	0	2	0	1	0	1	1	0	2	1	0
Gm47495	0	0	0	0	0	0	0	0	0	0	0	0
Gm47496	1	4	2	6	0	3	0	1	4	1	0	2
Gm47497	0	0	0	0	0	0	0	0	0	0	0	0
Gm47498	0	0	0	0	0	0	0	0	0	0	0	0
Gm47499	0	0	0	0	0	0	0	0	0	0	0	0
Gm4750	12	6	9	9	6	3	8	14	5	12	9	18
Gm47500	0	0	0	0	0	0	0	0	0	0	0	0
Gm47501	0	0	0	0	0	0	0	0	0	0	0	0
Gm47502	0	0	0	0	0	0	0	0	0	1	1	0
Gm47503	0	0	3	1	0	5	2	0	1	1	0	3
Gm47504	1	0	0	2	0	5	0	2	2	2	1	2
Gm47505	1	0	2	0	3	1	4	3	1	4	1	1
Gm47506	0	0	0	0	0	0	0	0	0	0	0	0
Gm47507	0	0	0	0	0	0	0	0	0	0	0	0
Gm47508	15	18	12	17	15	20	13	13	19	18	12	13
Gm47509	0	0	0	0	1	6	5	15	2	4	7	5
Gm4751	1	1	0	0	1	0	1	2	2	1	0	0
Gm47510	0	0	0	1	0	0	0	0	0	0	0	0
Gm47511	0	0	0	0	0	0	0	0	0	0	0	0
Gm47512	23	18	15	18	19	10	12	14	10	17	11	15
Gm47513	2	1	1	1	0	2	2	0	0	1	0	1
Gm47514	0	0	0	0	0	0	0	0	0	0	0	0
Gm47515	0	0	0	2	0	0	1	1	1	0	0	3
Gm47516	0	0	0	0	0	0	0	0	0	0	0	0
Gm47517	0	0	0	0	0	0	0	0	0	0	0	0
Gm47518	2	0	0	1	0	0	0	0	0	0	3	0
Gm47519	0	0	0	0	0	0	0	0	0	0	0	0
Gm47520	0	0	0	0	0	0	1	0	0	0	0	0
Gm47521	0	0	0	0	0	0	0	0	0	0	0	0
Gm47522	0	0	0	0	1	0	0	0	0	0	1	0
Gm47523	0	0	0	0	0	0	0	1	1	0	0	0
Gm47524	0	0	0	0	0	0	0	0	0	0	0	0
Gm47525	19	15	15	22	9	11	9	10	8	13	20	9
Gm47526	0	2	0	1	0	4	0	1	2	1	1	0
Gm47527	0	0	0	0	0	0	0	0	0	0	0	0
Gm47528	0	0	0	0	0	0	0	0	0	0	0	0
Gm47529	0	1	0	0	1	1	0	0	0	0	0	0
Gm4753	0	0	0	0	0	0	0	0	0	0	0	0
Gm47530	1	0	0	3	0	0	0	0	0	2	1	0
Gm47531	0	0	0	0	0	0	0	0	0	0	0	0
Gm47532	0	0	0	0	0	0	0	0	0	0	0	0
Gm47533	0	0	0	0	0	0	0	0	0	0	0	0
Gm47534	0	0	0	0	0	0	0	0	0	0	0	0
Gm47535	1	1	0	0	2	2	2	1	0	4	1	2
Gm47536	0	0	2	0	0	0	2	1	0	0	2	0
Gm47537	0	0	0	0	0	0	0	0	0	0	0	0
Gm47538	0	0	0	0	0	0	0	0	0	0	0	0
Gm47539	2	0	0	1	1	3	1	0	1	0	0	4
Gm4754	4	4	9	4	4	10	6	3	7	8	5	1
Gm47540	0	0	0	0	0	0	0	0	0	0	0	0
Gm47541	2	3	0	0	3	1	0	0	3	2	1	2
Gm47542	1	2	5	4	4	8	1	2	1	4	1	1
Gm47543	1046	1164	1033	1441	224	461	455	286	226	389	484	261
Gm47544	0	0	0	0	0	0	0	0	0	0	0	0
Gm47545	0	3	0	1	0	0	0	0	0	0	0	0
Gm47546	0	0	0	0	0	0	0	0	0	0	0	0
Gm47547	2	4	1	2	1	1	3	2	0	2	0	0
Gm47548	0	0	0	0	0	0	0	0	0	0	0	0
Gm47549	0	0	0	0	0	0	0	0	0	0	0	0
Gm4755	0	0	0	1	1	1	1	0	0	0	1	1
Gm47550	9	26	15	25	19	28	25	24	26	26	19	29
Gm47551	0	0	0	1	0	1	1	0	0	0	0	0
Gm47552	0	0	0	0	0	0	0	0	0	0	0	0
Gm47553	0	0	0	0	0	0	0	0	0	0	0	0
Gm47554	0	0	0	0	0	0	0	0	0	0	0	0
Gm47555	0	0	0	0	0	0	0	0	0	0	0	0
Gm47556	0	0	0	0	0	0	1	0	0	0	0	0
Gm47557	0	9	2	5	6	8	4	3	13	7	7	6
Gm47558	12	15	14	18	17	18	13	19	11	21	8	21
